Name,TotalSteps,TotalDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes
Asher Maya,0,0.00,0,0,0
Wyatt Abigail,0,0.00,0,0,0
William Madison,149,0.10,0,0,10
Owen Aubrey,2945,2.04,0,0,145
Gabriel Emily,2090,1.45,1,6,75
Miles Kinsley,152,0.11,0,0,12
Lincoln Elena,3761,2.60,0,0,192
Ezra Paisley,0,0.00,0,0,0
Isaiah Madelyn,1675,1.16,0,0,95
Luke Aurora,0,0.00,0,0,0
Cameron Peyton,0,0.00,0,0,0
Caleb Nova,2704,1.87,14,1,70
Isaac Emilia,3790,2.62,16,8,94
Carson Hannah,1326,0.92,10,0,17
Samuel Sarah,1786,1.24,0,0,87
Colton Ariana,0,0.00,0,0,0
Maverick Penelope,2091,1.45,0,0,108
Matthew Lila,1510,1.04,0,0,48
Ian Brooklyn,0,0.00,0,0,0
David Emery,0,0.00,0,0,0
Adam Callie,0,0.00,0,0,0
Nicholas Hazel,0,0.00,0,0,0
Elias Hailey,0,0.00,0,0,0
Adrian Eleanor,11875,8.34,42,14,227
Kai Violet,12024,8.50,43,5,292
Nathan Elizabeth,10690,7.50,32,3,257
Eli Grace,11034,8.03,27,9,282
Hudson Anna,10100,7.09,41,11,151
John Mackenzie,15112,11.40,28,29,331
Zane Kaylee,14131,10.07,48,3,311
Connor Victoria,11548,8.53,31,7,250
Ezekiel Natalie,15112,10.67,48,63,276
Anthony Raelynn,12453,8.74,104,53,255
Joseph Addison,12954,9.33,52,10,273
Landon Skyler,6001,4.21,0,0,249
Jameson Melanie,13481,10.28,37,26,216
Thomas Stella,11369,8.01,44,8,217
Aaron Naomi,10119,7.19,55,24,275
Christian Lelani,10159,7.13,19,20,282
Xavier Isabelle,10140,7.12,6,20,291
Nolan Bella,10245,7.19,21,40,281
Easton Liliana,18387,12.91,13,23,361
Joshua Kennedy,10538,7.40,25,28,245
