Alaina Zion,81,0,0,1135,0,3525,0,0
Adeline Theo,871,313,15,854,0,0,19,1474
Audrey Cooper,111,48,0,2344,9,0,72,0
Anaya Malachi,629,1112,51,0,0,654,1333,1632
Maria Axel,0,0,425,0,319,0,0,615
Eva Santiago,326,304,0,0,0,227,0,647
Jasmine Elliot,4,1460,0,338,0,0,0,337
Cora Brayden,100,0,90,92,1552,0,844,323
Claire Evan,0,578,0,3389,0,0,0,0
Allison Max,5,2925,0,0,360,635,0,0
Liam Sophia,0,159,67,459,1460,1071,35,824
Noah Olivia,1383,0,0,0,933,0,255,0
Jackson Riley,1303,445,0,643,56,3764,13,251
Aiden Emma,34,506,904,0,0,403,0,0
Grayson Isabella,0,0,462,491,234,11,0,0
Oliver Aaliyah,218,119,166,1911,81,304,0,1048
Caden Amelia,637,1140,0,0,0,50,0,861
Mateo Mia,45,626,0,0,0,652,1170,0
Muhammad Layla,0,0,78,16,0,0,1093,762
Mason Zoe,0,0,144,604,4,0,0,0
Ethan Eliana,0,275,0,0,549,6,140,292
Sebastian Mila,0,0,0,2669,0,0,16,0
James Everly,94,0,0,9,0,0,0,1061
Michael Luna,0,50,1717,765,0,22,0,1657
Benjamin Avery,0,0,3771,0,707,147,496,0
Logan Evelyn,0,839,0,140,402,669,269,110
Luca Lily,293,0,54,225,155,0,328,0
Alexander Ella,0,0,4,0,0,133,0,0
Levi Gianna,35,96,127,0,110,283,178,399
Daniel Chloe,743,0,0,187,0,616,267,1404
Julian Ellie,580,406,170,169,0,37,634,82
Jack Leah,438,0,32,5,0,58,0,1054
Ryan Nora,0,234,299,488,185,907,395,796
Jacob Scarlett,0,441,29,1058,838,707,9,684
Asher Maya,16,557,458,0,498,695,136,162
William Madison,0,815,451,1253,0,0,94,198
Owen Aubrey,286,0,642,456,25,42,0,346
Gabriel Emily,1120,103,0,52,54,812,399,9
Ezra Paisley,283,1093,0,0,646,271,367,194
Isaiah Madelyn,615,0,271,271,0,0,0,226
Luke Aurora,0,14,480,167,53,0,344,223
Cameron Peyton,0,85,109,0,289,283,0,0
Caleb Nova,652,160,1663,0,108,48,10,2438
Isaac Emilia,0,153,214,105,1185,419,1112,0
Samuel Sarah,0,53,0,88,1564,12,72,0
Colton Ariana,34,0,0,0,0,0,58,0
Matthew Lila,821,0,38,355,326,374,12,0
Ian Brooklyn,0,4,72,639,0,0,788,0
David Emery,159,2128,12,1211,570,0,247,214
Adam Callie,372,128,0,5,209,0,502,22
Nicholas Hazel,0,0,0,4,0,0,1554,50
Elias Hailey,166,0,9,1795,244,353,0,0
Adrian Eleanor,0,0,881,645,147,161,0,44
Kai Violet,0,62,182,1500,0,0,0,0
Eli Grace,0,0,506,121,0,179,901,79
Hudson Anna,45,132,0,0,0,171,0,178
Zane Kaylee,0,0,299,0,1227,0,21,3807
Connor Victoria,341,3251,35,569,137,78,0,0
Anthony Raelynn,92,121,595,0,655,625,565,820
Joseph Addison,342,0,0,315,118,133,4060,789
Landon Skyler,0,174,0,1641,152,0,0,286
Thomas Stella,274,353,271,0,0,783,0,1577
Aaron Naomi,0,0,0,0,0,0,407,0
Christian Lelani,359,322,101,360,0,0,1139,1004
Xavier Isabelle,464,0,1468,2767,45,1454,0,941
Easton Liliana,0,316,169,405,440,137,265,0
Joshua Kennedy,183,75,419,0,1112,0,0,0
